"CubeId";"auvekoma"
"PublishingDate";"2025-03-24 09:00"

"Date";"D0";"D1";"Value"
"1996";"P";"VGB";"230500"
"1996";"P";"VGK";"61899"
"1996";"P";"OH0";
"1996";"P";"US0";"0"
"1996";"P";"T6";"72181.4"
"1996";"P";"N1";
"1996";"P";"OH1";"692.2"
"1996";"P";"US1";"71489.2"
"1996";"P";"UP";"96762.7189"
"1996";"N";"T0";"409094.5267"
"1996";"N";"T1";"97734.4"
"1996";"N";"T2";"210631.6"
"1996";"N";"D";
"1996";"N";"T4";"37041.3267"
"1996";"N";"T7";"63687.2"
"1997";"A";"T0";"1483710.1"
"1997";"A";"T1";"255245.1"
"1997";"A";"B0";"212551.4"
"1997";"A";"K0";"42693.7"
"1997";"A";"T2";"557062.5"
"1997";"A";"S0T";"316300.9"
"1997";"A";"STK";"2557"
"1997";"A";"STL";"313743.9"
"1997";"A";"T3";"240761.6"
"1997";"A";"A";"240761.6"
"1997";"A";"K1";"0"
"1997";"A";"D";
"1997";"A";"T4";"602797.1"
"1997";"A";"T5";"431709.6"
"1997";"A";"N0";"0"
"1997";"A";"TB1";"393577"
"1997";"A";"FGB";"318048"
"1997";"A";"OH0";"0"
"1997";"A";"US0";"38132.6"
"1997";"A";"T6";"127658.7"
"1997";"A";"N1";"0"
"1997";"A";"TB2";"84686"
"1997";"A";"FGK";"84686"
"1997";"A";"OH1";"936"
"1997";"A";"US1";"42036.7"
"1997";"A";"UA";"43428.8"
"1997";"A";"T7";"68605.4"
"1997";"A";"G";"11904"
"1997";"A";"RIWF";"2765"
"1997";"A";"S1";"350.5"
"1997";"A";"T8";"53270.5"
"1997";"A";"W";"53270.5"
"1997";"A";"BE";"0"
"1997";"A";"U";"315.4"
"1997";"P";"T0";"1082597.265384"
"1997";"P";"T1";"122488.9"
"1997";"P";"B0";"103257.9"
"1997";"P";"K0";"19231"
"1997";"P";"T2";"397012.8"
"1997";"P";"S0T";"38258.8"
"1997";"P";"STK";"0"
"1997";"P";"STL";"38258.8"
"1997";"P";"T3";"358754"
"1997";"P";"A";"317331"
"1997";"P";"K1";"41423"
"1997";"P";"D";
"1997";"P";"T4";"563095.565384"
"1997";"P";"T5";"381831.0104"
"1997";"P";"N0";"5333.0104"
"1997";"P";"TB1";"376498"
"1997";"P";"VGB";"301224"
"1997";"P";"VGK";"73664"
"1997";"P";"OH0";
"1997";"P";"US0";"0"
"1997";"P";"T6";"70991"
"1997";"P";"N1";
"1997";"P";"OH1";"867.6"
