"CubeId";"auvezebq"
"PublishingDate";"2025-03-24 09:00"

"Date";"D0";"D1";"D2";"Value"
"2003-Q1";"N";"T";"K";"35999.0587994"
"2003-Q1";"N";"T";"K7";
"2003-Q1";"N";"T";"K7A";
"2003-Q1";"N";"T";"K7B";
"2003-Q1";"N";"T";"KA";
"2003-Q1";"N";"T";"LE";"632600.04068397"
"2003-Q1";"A";"T";"LE1";"2115429.03642835"
"2003-Q1";"A";"T";"LX";"473.83106013"
"2003-Q1";"A";"T";"T";
"2003-Q1";"A";"T";"K";
"2003-Q1";"A";"T";"K7";
"2003-Q1";"A";"T";"K7A";
"2003-Q1";"A";"T";"K7B";
"2003-Q1";"A";"T";"KA";
"2003-Q1";"A";"T";"LE";"2115903.36748848"
"2003-Q1";"P";"T";"LE1";"1542904.27267278"
"2003-Q1";"P";"T";"LX";"-59601.54586827"
"2003-Q1";"P";"T";"T";
"2003-Q1";"P";"T";"K";
"2003-Q1";"P";"T";"K7";
"2003-Q1";"P";"T";"K7A";
"2003-Q1";"P";"T";"K7B";
"2003-Q1";"P";"T";"KA";
"2003-Q1";"P";"T";"LE";"1483303.32680451"
"2003-Q2";"N";"T";"LE1";"632600.04068397"
"2003-Q2";"N";"T";"LX";"8275.58445059"
"2003-Q2";"N";"T";"T";"13307.41872749"
"2003-Q2";"N";"T";"K";"-5031.4342769"
"2003-Q2";"N";"T";"K7";
"2003-Q2";"N";"T";"K7A";
"2003-Q2";"N";"T";"K7B";
"2003-Q2";"N";"T";"KA";
"2003-Q2";"N";"T";"LE";"640874.82513456"
"2003-Q2";"A";"T";"LE1";"2115903.36748848"
"2003-Q2";"A";"T";"LX";"103933.56148232"
"2003-Q2";"A";"T";"T";
"2003-Q2";"A";"T";"K";
"2003-Q2";"A";"T";"K7";
"2003-Q2";"A";"T";"K7A";
"2003-Q2";"A";"T";"K7B";
"2003-Q2";"A";"T";"KA";
"2003-Q2";"A";"T";"LE";"2219836.22897081"
"2003-Q2";"P";"T";"LE1";"1483303.32680451"
"2003-Q2";"P";"T";"LX";"95657.97703173"
"2003-Q2";"P";"T";"T";
"2003-Q2";"P";"T";"K";
"2003-Q2";"P";"T";"K7";
"2003-Q2";"P";"T";"K7A";
"2003-Q2";"P";"T";"K7B";
"2003-Q2";"P";"T";"KA";
"2003-Q2";"P";"T";"LE";"1578961.40383624"
"2003-Q3";"N";"T";"LE1";"640874.82513456"
"2003-Q3";"N";"T";"LX";"-39160.50641264"
"2003-Q3";"N";"T";"T";"3191.9652064"
"2003-Q3";"N";"T";"K";"-42352.17161904"
"2003-Q3";"N";"T";"K7";
"2003-Q3";"N";"T";"K7A";
"2003-Q3";"N";"T";"K7B";
"2003-Q3";"N";"T";"KA";
"2003-Q3";"N";"T";"LE";"601715.31872193"
"2003-Q3";"A";"T";"LE1";"2219836.22897081"
"2003-Q3";"A";"T";"LX";"-22189.17110256"
"2003-Q3";"A";"T";"T";
"2003-Q3";"A";"T";"K";
"2003-Q3";"A";"T";"K7";
"2003-Q3";"A";"T";"K7A";
"2003-Q3";"A";"T";"K7B";
"2003-Q3";"A";"T";"KA";
"2003-Q3";"A";"T";"LE";"2197647.45786824"
"2003-Q3";"P";"T";"LE1";"1578961.40383624"
"2003-Q3";"P";"T";"LX";"16971.33531007"
"2003-Q3";"P";"T";"T";
"2003-Q3";"P";"T";"K";
"2003-Q3";"P";"T";"K7";
"2003-Q3";"P";"T";"K7A";
"2003-Q3";"P";"T";"K7B";
"2003-Q3";"P";"T";"KA";
"2003-Q3";"P";"T";"LE";"1595932.13914632"
"2003-Q4";"N";"T";"LE1";"601715.31872193"
"2003-Q4";"N";"T";"LX";"-47201.83503606"
"2003-Q4";"N";"T";"T";"643.04798215"
"2003-Q4";"N";"T";"K";"-47844.78301821"
"2003-Q4";"N";"T";"K7";
"2003-Q4";"N";"T";"K7A";
"2003-Q4";"N";"T";"K7B";
"2003-Q4";"N";"T";"KA";
"2003-Q4";"N";"T";"LE";"554513.18368587"
"2003-Q4";"A";"T";"LE1";"2197647.45786824"
"2003-Q4";"A";"T";"LX";"6845.62061733"
"2003-Q4";"A";"T";"T";
"2003-Q4";"A";"T";"K";
"2003-Q4";"A";"T";"K7";
"2003-Q4";"A";"T";"K7A";
"2003-Q4";"A";"T";"K7B";
"2003-Q4";"A";"T";"KA";
"2003-Q4";"A";"T";"LE";"2204493.17848557"
"2003-Q4";"P";"T";"LE1";"1595932.13914632"
"2003-Q4";"P";"T";"LX";"54047.45565339"
"2003-Q4";"P";"T";"T";
"2003-Q4";"P";"T";"K";
"2003-Q4";"P";"T";"K7";
"2003-Q4";"P";"T";"K7A";
"2003-Q4";"P";"T";"K7B";
"2003-Q4";"P";"T";"KA";
"2003-Q4";"P";"T";"LE";"1649979.99479971"
"2004-Q1";"N";"T";"LE1";"554513.18368587"
"2004-Q1";"N";"T";"LX";"5947.75938043"
"2004-Q1";"N";"T";"T";"10810.98753151"
"2004-Q1";"N";"T";"K";"-4862.82815108"
"2004-Q1";"N";"T";"K7";
"2004-Q1";"N";"T";"K7A";
"2004-Q1";"N";"T";"K7B";
"2004-Q1";"N";"T";"KA";
"2004-Q1";"N";"T";"LE";"560460.24306629"
"2004-Q1";"A";"T";"LE1";"2204493.17848557"
"2004-Q1";"A";"T";"LX";"127814.40046985"
"2004-Q1";"A";"T";"T";
"2004-Q1";"A";"T";"K";
"2004-Q1";"A";"T";"K7";
"2004-Q1";"A";"T";"K7A";
"2004-Q1";"A";"T";"K7B";
"2004-Q1";"A";"T";"KA";
"2004-Q1";"A";"T";"LE";"2332306.67895542"
"2004-Q1";"P";"T";"LE1";"1649979.99479971"
"2004-Q1";"P";"T";"LX";"121866.64108942"
"2004-Q1";"P";"T";"T";
"2004-Q1";"P";"T";"K";
"2004-Q1";"P";"T";"K7";
"2004-Q1";"P";"T";"K7A";
"2004-Q1";"P";"T";"K7B";
"2004-Q1";"P";"T";"KA";
"2004-Q1";"P";"T";"LE";"1771846.43588913"
"2004-Q2";"N";"T";"LE1";"560460.24306629"
"2004-Q2";"N";"T";"LX";"-14318.52337837"
"2004-Q2";"N";"T";"T";"26334.70088642"
"2004-Q2";"N";"T";"K";"-40652.32426479"
"2004-Q2";"N";"T";"K7";
"2004-Q2";"N";"T";"K7A";
"2004-Q2";"N";"T";"K7B";
"2004-Q2";"N";"T";"KA";
"2004-Q2";"N";"T";"LE";"546142.31968793"
"2004-Q2";"A";"T";"LE1";"2332306.67895542"
"2004-Q2";"A";"T";"LX";"-37.46571616"
"2004-Q2";"A";"T";"T";
"2004-Q2";"A";"T";"K";
"2004-Q2";"A";"T";"K7";
"2004-Q2";"A";"T";"K7A";
"2004-Q2";"A";"T";"K7B";
"2004-Q2";"A";"T";"KA";
"2004-Q2";"A";"T";"LE";"2332269.41323927"
"2004-Q2";"P";"T";"LE1";"1771846.43588913"
"2004-Q2";"P";"T";"LX";"14281.05766221"
"2004-Q2";"P";"T";"T";
"2004-Q2";"P";"T";"K";
"2004-Q2";"P";"T";"K7";
"2004-Q2";"P";"T";"K7A";
"2004-Q2";"P";"T";"K7B";
"2004-Q2";"P";"T";"KA";
"2004-Q2";"P";"T";"LE";"1786127.09355134"
"2004-Q3";"N";"T";"LE1";"546142.31968793"
"2004-Q3";"N";"T";"LX";"30537.37363625"
"2004-Q3";"N";"T";"T";"24636.34478416"
"2004-Q3";"N";"T";"K";"5900.92885209"
"2004-Q3";"N";"T";"K7";
"2004-Q3";"N";"T";"K7A";
"2004-Q3";"N";"T";"K7B";
"2004-Q3";"N";"T";"KA";
"2004-Q3";"N";"T";"LE";"576679.79332418"
"2004-Q3";"A";"T";"LE1";"2332269.41323927"
"2004-Q3";"A";"T";"LX";"-13178.42874712"
"2004-Q3";"A";"T";"T";
"2004-Q3";"A";"T";"K";
"2004-Q3";"A";"T";"K7";
"2004-Q3";"A";"T";"K7A";
"2004-Q3";"A";"T";"K7B";
"2004-Q3";"A";"T";"KA";
"2004-Q3";"A";"T";"LE";"2319091.38449215"
"2004-Q3";"P";"T";"LE1";"1786127.09355134"
"2004-Q3";"P";"T";"LX";"-43715.80238337"
"2004-Q3";"P";"T";"T";
"2004-Q3";"P";"T";"K";
"2004-Q3";"P";"T";"K7";
"2004-Q3";"P";"T";"K7A";
"2004-Q3";"P";"T";"K7B";
"2004-Q3";"P";"T";"KA";
"2004-Q3";"P";"T";"LE";"1742411.59116797"
"2004-Q4";"N";"T";"LE1";"576679.79332418"
"2004-Q4";"N";"T";"LX";"-17915.94736013"
"2004-Q4";"N";"T";"T";"28733.50446456"
"2004-Q4";"N";"T";"K";"-46649.75182468"
"2004-Q4";"N";"T";"K7";
"2004-Q4";"N";"T";"K7A";
"2004-Q4";"N";"T";"K7B";
"2004-Q4";"N";"T";"KA";
"2004-Q4";"N";"T";"LE";"558763.24596405"
"2004-Q4";"A";"T";"LE1";"2319091.38449215"
"2004-Q4";"A";"T";"LX";"-3132.45317071"
"2004-Q4";"A";"T";"T";
"2004-Q4";"A";"T";"K";
"2004-Q4";"A";"T";"K7";
"2004-Q4";"A";"T";"K7A";
"2004-Q4";"A";"T";"K7B";
"2004-Q4";"A";"T";"KA";
"2004-Q4";"A";"T";"LE";"2315958.63132144"
"2004-Q4";"P";"T";"LE1";"1742411.59116797"
"2004-Q4";"P";"T";"LX";"14783.49418942"
"2004-Q4";"P";"T";"T";
"2004-Q4";"P";"T";"K";
"2004-Q4";"P";"T";"K7";
"2004-Q4";"P";"T";"K7A";
"2004-Q4";"P";"T";"K7B";
"2004-Q4";"P";"T";"KA";
"2004-Q4";"P";"T";"LE";"1757195.38535739"
"2005-Q1";"N";"T";"LE1";"558763.24596405"
"2005-Q1";"N";"T";"LX";"31920.20776751"
"2005-Q1";"N";"T";"T";"21026.90661377"
"2005-Q1";"N";"T";"K";"10892.99215374"
"2005-Q1";"N";"T";"K7";
"2005-Q1";"N";"T";"K7A";
"2005-Q1";"N";"T";"K7B";
"2005-Q1";"N";"T";"KA";
"2005-Q1";"N";"T";"LE";"590684.25973156"
"2005-Q1";"A";"T";"LE1";"2315958.63132144"
"2005-Q1";"A";"T";"LX";"110786.85429118"
"2005-Q1";"A";"T";"T";
"2005-Q1";"A";"T";"K";
"2005-Q1";"A";"T";"K7";
"2005-Q1";"A";"T";"K7A";
"2005-Q1";"A";"T";"K7B";
"2005-Q1";"A";"T";"KA";
"2005-Q1";"A";"T";"LE";"2426745.88361262"
"2005-Q1";"P";"T";"LE1";"1757195.38535739"
"2005-Q1";"P";"T";"LX";"78866.64652366"
"2005-Q1";"P";"T";"T";
"2005-Q1";"P";"T";"K";
"2005-Q1";"P";"T";"K7";
"2005-Q1";"P";"T";"K7A";
"2005-Q1";"P";"T";"K7B";
"2005-Q1";"P";"T";"KA";
"2005-Q1";"P";"T";"LE";"1836061.62388105"
"2005-Q2";"N";"T";"LE1";"590684.25973156"
"2005-Q2";"N";"T";"LX";"2160.79213445"
"2005-Q2";"N";"T";"T";"9224.8800818"
"2005-Q2";"N";"T";"K";"-7064.78794735"
"2005-Q2";"N";"T";"K7";
"2005-Q2";"N";"T";"K7A";
"2005-Q2";"N";"T";"K7B";
"2005-Q2";"N";"T";"KA";
"2005-Q2";"N";"T";"LE";"592845.24082705"
"2005-Q2";"A";"T";"LE1";"2426745.88361262"
"2005-Q2";"A";"T";"LX";"181325.41865811"
"2005-Q2";"A";"T";"T";
"2005-Q2";"A";"T";"K";
"2005-Q2";"A";"T";"K7";
"2005-Q2";"A";"T";"K7A";
"2005-Q2";"A";"T";"K7B";
"2005-Q2";"A";"T";"KA";
"2005-Q2";"A";"T";"LE";"2608071.19623177"
"2005-Q2";"P";"T";"LE1";"1836061.62388105"
"2005-Q2";"P";"T";"LX";"179164.62652366"
"2005-Q2";"P";"T";"T";
"2005-Q2";"P";"T";"K";
"2005-Q2";"P";"T";"K7";
"2005-Q2";"P";"T";"K7A";
"2005-Q2";"P";"T";"K7B";
"2005-Q2";"P";"T";"KA";
"2005-Q2";"P";"T";"LE";"2015225.95540471"
"2005-Q3";"N";"T";"LE1";"592845.24082705"
"2005-Q3";"N";"T";"LX";"7784.49317912"
"2005-Q3";"N";"T";"T";"22795.19822882"
"2005-Q3";"N";"T";"K";"-15010.3050497"
"2005-Q3";"N";"T";"K7";
"2005-Q3";"N";"T";"K7A";
"2005-Q3";"N";"T";"K7B";
"2005-Q3";"N";"T";"KA";
"2005-Q3";"N";"T";"LE";"600629.21804513"
"2005-Q3";"A";"T";"LE1";"2608071.19623177"
"2005-Q3";"A";"T";"LX";"136375.91970278"
"2005-Q3";"A";"T";"T";
"2005-Q3";"A";"T";"K";
"2005-Q3";"A";"T";"K7";
"2005-Q3";"A";"T";"K7A";
"2005-Q3";"A";"T";"K7B";
